method,n1,dim_phi,ate_abs_error_mean,n,ate_abs_error_se
TM_negative,0,20,0.4328330984029051,50,0.047872085671986433
TM_negative,200,20,0.6595912624594973,50,0.0726208333291987
TM_negative,500,20,0.6353427084022641,50,0.06803608315557827
TM_negative,1000,20,0.6206143663208882,50,0.06310474153369743
TM_negative_bc,0,20,0.2847455775976032,50,0.03441476081996122
TM_negative_bc,200,20,0.3607343524751647,50,0.03543713463294283
TM_negative_bc,500,20,0.3585464622150393,50,0.03796676563466193
TM_negative_bc,1000,20,0.3574802369570901,50,0.039142500401669854
TM_positive,0,20,0.23413969569944115,50,0.02266083882585678
TM_positive,200,20,0.17681764553854787,50,0.02019456709169986
TM_positive,500,20,0.12034115043446655,50,0.016115345872304215
TM_positive,1000,20,0.13181524320558807,50,0.014988749354876024
TM_positive_bc,0,20,0.19337286014998067,50,0.022457797812734208
TM_positive_bc,200,20,0.17881112477170924,50,0.020179840457386706
TM_positive_bc,500,20,0.1743469990280596,50,0.019710816742662493
TM_positive_bc,1000,20,0.1727120170058686,50,0.01989572943888617
